"-------------------------------------------------------------------------------------------"
" Monthly average CO2 concentrations (ppm) derived from daily flask and in situ (continuous) data. "
" South Pole                                                                                "
"  In situ data is sporadically used only during a limited time period from 1960 to 1963"
"  Outside this period, the record is entirely flask-based"
"                                                                                           "
" Source: R. F. Keeling and S. J. Walker                                                    "
" Scripps CO2 Program ( http://scrippsco2.ucsd.edu )                                        "
" Scripps Institution of Oceanography (SIO)                                                 "
" University of California                                                                  "
" La Jolla, California USA 92093-0244                                                       "
"                                                                                           "
" Status of data and correspondence:                                                        "
"                                                                                           "
" These data are subject to revision based on recalibration of standard gases. Questions    "
" about the data should be directed to Dr. Ralph Keeling (rkeeling AT ucsd.edu) and         "
" Dr. Stephen Walker (sjwalker AT ucsd.edu), Scripps CO2 Program.                           "
"                                                                                           "
" Flask data from archive dated 17-May-2022 14:09:39                                        "
"                                                                                           "
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" Please cite as:                                                                           "
"                                                                                           "
" C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and       "
" H. A. Meijer, Exchanges of atmospheric CO2 and 13CO2 with the terrestrial biosphere and   "
" oceans from 1978 to 2000.  I. Global aspects, SIO Reference Series, No. 01-06, Scripps    "
" Institution of Oceanography, San Diego, 88 pages, 2001.                                   "
"                                                                                           "
" If it is necessary to cite a peer-reviewed article, please cite as:                       "
"                                                                                           "
" C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and       "
" H. A. Meijer, Atmospheric CO2 and 13CO2 exchange with the terrestrial biosphere and       "
" oceans from 1978 to 2000: observations and carbon cycle implications, pages 83-113,       "
" in "A History of Atmospheric CO2 and its effects on Plants, Animals, and Ecosystems",     "
" editors, Ehleringer, J.R., T. E. Cerling, M. D. Dearing, Springer Verlag,                 "
" New York, 2005.                                                                           "
"                                                                                           "
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" The data file below contains 10 columns.  Columns 1-4 give the dates in several redundant "
" formats. Column 5 below gives monthly CO2 concentrations in micro-mol CO2 per mole (ppm)  "
" reported on the 2012 SIO manometric mole fraction scale.  This is the standard           "
" version of the data most often sought.  The monthly values have been adjusted             "
" to 24:00 hours on the 15th of each month.  Column 6 gives the same data after a seasonal  "
" adjustment to remove the quasi-regular seasonal cycle.  The adjustment involves           "
" subtracting from the data a 4-harmonic fit with a linear gain factor.  Column 7 is a      "
" smoothed version of the data generated from a stiff cubic spline function plus 4-harmonic "
" functions with linear gain.  Column 8 is the same smoothed version with the seasonal      "
" cycle removed.  Column 9 is identical to Column 5 except that the missing values from     "
" Column 5 have been filled with values from Column 7.  Column 10 is identical to Column 6  "
" except missing values have been filled with values from Column 8.  Missing values are     "
" denoted by -99.99                                                                         "
"                                                                                           "
" CO2 concentrations are reported on the Scripps '12' Calibration scale                     "
"                                                                                           "
  Yr, Mn,    Date,      Date,     CO2,seasonally,        fit,  seasonally,      CO2, seasonally
    ,   ,        ,          ,        ,  adjusted,           ,adjusted fit,   filled,adjusted filled
    ,   ,   Excel,          ,     ppm,      ppm,        ppm,      ppm,       ppm,      ppm
1957, 01,   20835, 1957.0411,      NaN,      NaN,     312.74,   312.83,     312.74,   312.83
1957, 02,   20866, 1957.1260,      NaN,      NaN,     312.61,   312.95,     312.61,   312.95
1957, 03,   20894, 1957.2027,      NaN,      NaN,     312.59,   313.07,     312.59,   313.07
1957, 04,   20925, 1957.2877,      NaN,      NaN,     312.75,   313.20,     312.75,   313.20
1957, 05,   20955, 1957.3699,      NaN,      NaN,     312.97,   313.32,     312.97,   313.32
1957, 06,   20986, 1957.4548,   312.79,   313.00,     313.24,   313.45,     312.79,   313.00
1957, 07,   21016, 1957.5370,      NaN,      NaN,     313.63,   313.58,     313.63,   313.58
1957, 08,   21047, 1957.6219,      NaN,      NaN,     314.07,   313.70,     314.07,   313.70
1957, 09,   21078, 1957.7068,      NaN,      NaN,     314.34,   313.83,     314.34,   313.83
1957, 10,   21108, 1957.7890,      NaN,      NaN,     314.43,   313.95,     314.43,   313.95
1957, 11,   21139, 1957.8740,      NaN,      NaN,     314.40,   314.07,     314.40,   314.07
1957, 12,   21169, 1957.9562,   314.48,   314.33,     314.32,   314.18,     314.48,   314.33
1958, 01,   21200, 1958.0411,      NaN,      NaN,     314.21,   314.29,     314.21,   314.29
1958, 02,   21231, 1958.1260,      NaN,      NaN,     314.05,   314.40,     314.05,   314.40
1958, 03,   21259, 1958.2027,   314.30,   314.78,     314.01,   314.49,     314.30,   314.78
1958, 04,   21290, 1958.2877,      NaN,      NaN,     314.13,   314.58,     314.13,   314.58
1958, 05,   21320, 1958.3699,      NaN,      NaN,     314.31,   314.67,     314.31,   314.67
1958, 06,   21351, 1958.4548,   314.51,   314.73,     314.54,   314.75,     314.51,   314.73
1958, 07,   21381, 1958.5370,      NaN,      NaN,     314.89,   314.83,     314.89,   314.83
1958, 08,   21412, 1958.6219,      NaN,      NaN,     315.28,   314.91,     315.28,   314.91
1958, 09,   21443, 1958.7068,   315.33,   314.81,     315.50,   314.99,     315.33,   314.81
1958, 10,   21473, 1958.7890,      NaN,      NaN,     315.54,   315.06,     315.54,   315.06
1958, 11,   21504, 1958.8740,      NaN,      NaN,     315.47,   315.13,     315.47,   315.13
1958, 12,   21534, 1958.9562,      NaN,      NaN,     315.35,   315.21,     315.35,   315.21
1959, 01,   21565, 1959.0411,   315.09,   315.17,     315.20,   315.28,     315.09,   315.17
1959, 02,   21596, 1959.1260,   315.13,   315.47,     315.01,   315.35,     315.13,   315.47
1959, 03,   21624, 1959.2027,   315.08,   315.56,     314.94,   315.42,     315.08,   315.56
